Video_ID,Komentar,Jumlah_Suka
lslu0_8OynQ,"Ingin di bantu Sosialitasya,infrastrukturnya, dengan cara baik baik Darderdor senapan KKB....Sekarang pakek cara Kasar di bilang perampasan,kezoliman.....Padahal demi PAPUA Yang naik level GAYA HIDUPNYA SESUAI ZAMAN...Agar mampu bersaing kesejahtraan PANGAN DAN ENERGINYAnya dengan PAPUA NUGINI DAN AUSTRALIA di masa depan...Di adu domba sesama anak bangsa terus terusan...masak sih dari zaman Belanda sampai sekarang Strategi adu domba masih efektif menjajah,memecah belah bangsa NKRI Kaan maluu gak ada perubahan..SDM....🤣🤣🤣🤣....Malu jika merendahkan Proyek PANGAN DAN ENERGI DI PAPUA....Daripada PROYEK IKN KONYOL Yang mementingkan Oligarki...PAPUA Lebih ber untung dapet lahan sumber produktif PANGAN DAN ENERGI daripada KALIMANTAN Dapet Patung beton Besi berkarat tak bisa bikin kenyang perut gak Produktif...🤣🤣🤣.....",0
lslu0_8OynQ,Upp,0
lslu0_8OynQ,Support pemerintah di masa sulit bener-bener bikin hidup rakyat jadi lebih mudah,0
lslu0_8OynQ,"TUHAN MEMBERI SEJARAH BAGI ORANG PAPUA MELALUI MAS DANDI UNTUK MENUNJUKAN KEBENARAN TENTANG PAPUA. Trims kaka dandi, doa kami selalu buat orang baik sepertimu kaka🙏♥️🙏",1
lslu0_8OynQ,butuh sosok pak pigai  untuk meredakan masalah ini,0
lslu0_8OynQ,"Jangan kan Papua, kalau hutan Amazon bagian dr Indonesia udah pasti di gundulin 😂",0
lslu0_8OynQ,pelan2 nih gerogoti pemerintah biar collapse...,0
lslu0_8OynQ,Pemerintah andalan banget dalam kasih perlindungan ke masyarakat lewat kebijakan,0
lslu0_8OynQ,Pemerintah terus berusaha sekuat tenaga bantu masyarakat punya hidup lebih baik,0
lslu0_8OynQ,tanah ada emas tp masyarakatnya masi gk pakai baju.,0
lslu0_8OynQ,Kerja keras pemerintah akhirnya membuahkan manfaat buat banyak orang,0
lslu0_8OynQ,Para penyihir negri ini terusik keberadaanya . . . Kebenaran dan kejahatan mulai nyata menyiapkan pertarungan,0
lslu0_8OynQ,Sorong nobar tanpa hambatan di area terbuka jalan raya...gak ada aparat yg jaga atau nongol tapi sekitar jam 8 malam depan rumah sakit AL,0
lslu0_8OynQ,Ini lah doa ornng papua trmksih,0
lslu0_8OynQ,"Semoga dengan penjelasan mas Dandy lewat Podcast Bocor Halus ini, masyarakat Indonesia semakin memahami situasi yang terjadi di Papua. Sebelumnya jauh sebelum film Pesta Babi, Papua itu sudah terjadi kekerasan, setiap hari ada orang Papua yang mati terbunuh, hutan di rusakan, tanah adat di curi dengan alasan pembangunan untuk kesejahteraan. 

Kami yang terlibat dalam advokasi, mendapatkan intimidasi, ancaman, dan lain sebagainya. Terimakasih untuk semua yang sudah memahami situasi yang sudah dan sedang terjadi di Papua, dan juga sudah merasa simpati dengan situasi yang dialami oleh orang Papua.",0
lslu0_8OynQ,"Pelaksanaan sila ke 5 itu, seluruh Indo harus kena",0
lslu0_8OynQ,dana trilyunan yang dibagi dari pusat dikorupsi sama pejabat papua sendiri. harusnya itu yang diangkat tempo. jangan konyol.,1
lslu0_8OynQ,Kebijakan pemberdayaan masyarakat dari pemerintah terbukti bikin ekonomi lokal bangkit,0
lslu0_8OynQ,Salam damai ke semu umat manusia terus berbicar kebenaran kebenaran tegakan keadilan di muka bumi merdeka berpikir merdeka ilmu merdeka tindakan,0
lslu0_8OynQ,Papua bukan tanah kosong,0
lslu0_8OynQ,Untuk mendapatkan filmnya gimana ya,0
lslu0_8OynQ,Terimakasih ya. Karya film yang luar biasa. Sangat membuka mata,0
lslu0_8OynQ,"13:19 gerakan organik ini bukti banyak masyarakat muak dengan rezim 😂

17:34 sebenernya beberapa kali kondisi di papua lewat di algoritma saya, walaupun peristiwanya tidak tercover secara menyeluruh.. 
tp dari beberapa potong video kondisi masyarakatnya sudah tergambar miris, anak papua kelaparan datang ke rumah pendeta untuk tukar daun dengan beras/mie😢
Anak2 papua sekolah tidak pakai seragam, tidak pakai sepatu, bahkan alas kaki pun ngga pake😢 dan dibantu oleh parjo(hasil endorse)

Jelas potongan2 video itu sangat miris, apalagi kita mengingat bagaimana papua yg kaya tp masyarakatnya dimiskinkan 😢😢",0
lslu0_8OynQ,2029 kalian sdh tau apa yg harus dilakukan..,0
